ID,slug,title
1,schau,schau!
2,hier,hier
3,nichts,nichts
4,etwas,etwas
5,jemand,jemand
6,sum,sum
7,in-zu,in / zu
8,nach-auf,nach / auf
9,herauf,herauf
10,hinauf,hinauf
11,hahn,Hahn
12,kueken,Küken
13,kater,Kater
14,pferd,Pferd
15,eidechse,Eidechse
16,biene,Biene
17,heuschrecke,Heuschrecke
18,schmetterling,Schmetterling
19,loewenzahn,Löwenzahn
20,begiessen,begiessen
21,giesskanne,Giesskanne
22,pfuetze,Pfütze
23,regenschirm,Regenschirm
24,zaun,Zaun
25,schaukeln,schaukeln
26,treppe,Treppe
27,schublade,Schublade
28,sofa,Sofa
29,kochschuerze,Kochschürze
30,ueberrest-eines-apfels,Überrest eines Apfels
31,heidelbeere,Heidelbeere
32,rande,Rande
33,zwiebel,Zwiebel
34,kartoffel,Kartoffel
35,roesti,Rösti
36,kaesekruste,Käsekruste beim Fondue
37,brotanschnitt,Brotanschnitt
38,butter,Butter
39,bonbon,Bonbon
40,schokolade,Schokolade
41,schokoladenstaengel,Schokoladenstängel
42,wange,Wange
43,sommersprossen,Sommersprossen
44,quetschfleck,Quetschfleck
45,dutt,Dutt
46,schluckauf,Schluckauf
47,schnupfen,Schnupfen
48,urinieren,urinieren
49,baby,Baby
50,puppe,Puppe
51,glasmurmeln,Glasmurmeln
52,kosewort,Kosewort
53,kuss,Kuss
54,ohrfeige,Ohrfeige
55,kneifen,kneifen
56,fluestern,flüstern
57,plaudern,plaudern
58,taschentuch,Taschentuch
59,schlittschuh-laufen,Schlittschuh laufen
60,kondukteur,Kondukteur
61,achse,Achse
62,wespe,Wespe
63,speck,Speck
64,bett,Bett
65,schlitten,Schlitten
66,gotte,Gotte
67,kueche,Küche
68,tanne-schwa,Tanne
69,abend-vokal,Abend
70,abend-endung,Abend
71,kaese,Käse
72,schnee,Schnee
73,eis-vokal,Eis
74,brot,Brot
75,maus,Maus
76,maeuse,Mäuse
77,schneien,schneien
78,bauen,bauen
79,neu,neu
80,nase,Nase
81,geiss,Geiss
82,augen,Augen
83,frauen,Frauen
84,heuen,heuen
85,vier,vier
86,bruder,Bruder
87,fuesse,Füsse
88,tief,tief
89,apfel,Apfel
90,schwester,Schwester
91,brille,Brille
92,ruecken-bruecke-muecke-druecken,"Rücken, Brücke, Mücke, drücken"
93,tag-tanne-anlaut,"Tag, Tanne"
94,kind,Kind
95,rad,Rad
96,eis-konsonant,Eis
97,tanne-geminate,Tanne
98,himmel-geminate,Himmel
99,salz,Salz
100,folgen,folgen
101,himmel-l-vokalisierung,Himmel
102,strael,Strääl
103,sohle,Sohle
104,sechs,sechs
105,gern,gern
106,darm,Darm
107,finden,finden
108,hund,Hund
109,fenster,Fenster
110,zins,Zins
111,trinken,trinken
112,patrick,Patrick
113,kiosk,Kiosk
114,maschine,Maschine
115,militaer,Militär
116,sprechgeschwindigkeit-alle,Sprechgeschwindigkeit
117,ich-komme,ich komme
118,du-kommst,du kommst
119,kommen-plural,kommen
120,haben-plural,haben
121,sein-plural,sein
122,tragen-getragen,"tragen, getragen"
123,gebracht,gebracht
124,bekommen,bekommen
125,kommen-werden,kommen / werden
126,tanne-plural,Tanne Plural
127,mann-plural,Mann Plural
128,bett-plural,Bett Plural
129,postauto-plural,Postauto Plural
130,fliege-sonne-kerze-bruecke,"Fliege, Sonne, Kerze, Brücke"
131,huendchen,Hündchen
132,bernerin,Bernerin
133,spitznamen,Spitznamen
134,alte-maenner,alt
135,die-ganze-nacht,ganz
136,spaet,spät
137,der-geissbock-ist-wild,Der Geissbock ist wild
138,ich,ich
139,dich-dir,dich / dir
140,meine-cousine,meine Cousine
141,zwei-maenner-frauen-kinder,"zwei Männer, Frauen, Kinder"
142,drei-maenner-frauen-kinder,"drei Männer, Frauen, Kinder"
143,coop,Coop
144,migros,Migros
145,tee,Tee
146,teller,Teller
147,hochzeit,Hochzeit
148,pult,Pult
149,tunnel,Tunnel
150,mirjams-hut,Mirjams Hut
151,der-patrick,(der) Patrick
152,daniel-mueller,Daniel Müller
153,gehen-lassen,(Er hat ihn) gehen lassen
154,gewesen-bin,(Als ich noch ein Kind) gewesen bin
155,lass-ihn-gehen,Lass ihn gehen
156,es-kommt-regnen,Es kommt regnen
157,grussformeln-morgens,Grussformeln
158,grussformeln-mittags,Grussformeln
159,grussformeln-nachmittags,Grussformeln
160,grussformeln-abends,Grussformeln
161,grussformeln-beim-wandern,Grussformeln
162,grussformeln-am-telefon,Grussformeln
163,verabschiedung-auf-der-bank,Verabschiedung
164,verabschieden-und-bedanken-im-bus,Verabschieden
165,dankeserwiderung,Dankeserwiderung
166,entschuldigen-beim-niesen,Entschuldigen
167,duzen-siezen-vorgesetzte,Duzen / Siezen
168,vergleichstext,Lesetext
