UID,title,parent,page,color,bg_color
1,Wortschatz,0,0,#8d8070,#ffdb62
2,Häufige Wörter,1,26,,
2,Häufige Wörter,1,28,,
2,Häufige Wörter,1,30,,
2,Häufige Wörter,1,32,,
2,Häufige Wörter,1,34,,
2,Häufige Wörter,1,36,,
2,Häufige Wörter,1,38,,
2,Häufige Wörter,1,40,,
2,Häufige Wörter,1,42,,
3,Tier,1,44,,
3,Tier,1,46,,
3,Tier,1,48,,
3,Tier,1,50,,
3,Tier,1,52,,
3,Tier,1,54,,
3,Tier,1,56,,
3,Tier,1,58,,
4,Haus und Garten,1,60,,
4,Haus und Garten,1,62,,
4,Haus und Garten,1,64,,
4,Haus und Garten,1,66,,
4,Haus und Garten,1,68,,
4,Haus und Garten,1,70,,
4,Haus und Garten,1,72,,
4,Haus und Garten,1,74,,
4,Haus und Garten,1,76,,
4,Haus und Garten,1,78,,
4,Haus und Garten,1,80,,
5,Essen und Trinken,1,82,,
5,Essen und Trinken,1,84,,
5,Essen und Trinken,1,86,,
5,Essen und Trinken,1,88,,
5,Essen und Trinken,1,90,,
5,Essen und Trinken,1,92,,
5,Essen und Trinken,1,94,,
5,Essen und Trinken,1,96,,
5,Essen und Trinken,1,98,,
5,Essen und Trinken,1,100,,
5,Essen und Trinken,1,102,,
5,Essen und Trinken,1,104,,
6,Mensch,1,106,,
6,Mensch,1,108,,
6,Mensch,1,110,,
6,Mensch,1,112,,
6,Mensch,1,114,,
6,Mensch,1,116,,
6,Mensch,1,118,,
6,Mensch,1,120,,
7,Gesellschaft,1,122,,
7,Gesellschaft,1,124,,
7,Gesellschaft,1,126,,
7,Gesellschaft,1,128,,
7,Gesellschaft,1,130,,
7,Gesellschaft,1,132,,
7,Gesellschaft,1,134,,
7,Gesellschaft,1,136,,
7,Gesellschaft,1,138,,
7,Gesellschaft,1,140,,
7,Gesellschaft,1,142,,
8,Lautung,0,0,#FFFFFF,#e11325
9,Vokale,8,146,,
9,Vokale,8,148,,
9,Vokale,8,150,,
9,Vokale,8,152,,
9,Vokale,8,154,,
9,Vokale,8,156,,
9,Vokale,8,158,,
9,Vokale,8,160,,
9,Vokale,8,162,,
9,Vokale,8,164,,
9,Vokale,8,166,,
9,Vokale,8,168,,
9,Vokale,8,170,,
9,Vokale,8,172,,
9,Vokale,8,174,,
9,Vokale,8,176,,
9,Vokale,8,178,,
9,Vokale,8,180,,
9,Vokale,8,182,,
9,Vokale,8,184,,
9,Vokale,8,186,,
9,Vokale,8,188,,
9,Vokale,8,190,,
9,Vokale,8,192,,
9,Vokale,8,194,,
9,Vokale,8,196,,
9,Vokale,8,198,,
9,Vokale,8,200,,
9,Vokale,8,202,,
9,Vokale,8,204,,
9,Vokale,8,206,,
9,Vokale,8,208,,
10,Konsonanten,8,210,,
10,Konsonanten,8,212,,
10,Konsonanten,8,214,,
10,Konsonanten,8,216,,
10,Konsonanten,8,218,,
10,Konsonanten,8,220,,
10,Konsonanten,8,222,,
10,Konsonanten,8,224,,
10,Konsonanten,8,224,,
10,Konsonanten,8,225,,
10,Konsonanten,8,225,,
10,Konsonanten,8,226,,
10,Konsonanten,8,228,,
10,Konsonanten,8,230,,
10,Konsonanten,8,232,,
10,Konsonanten,8,234,,
10,Konsonanten,8,236,,
10,Konsonanten,8,238,,
10,Konsonanten,8,240,,
10,Konsonanten,8,242,,
11,Prosodie,8,244,,
11,Prosodie,8,246,,
11,Prosodie,8,248,,
11,Prosodie,8,250,,
12,Grammatik,0,0,#FFFFFF,#71cdf1
13,Verb,12,256,,
13,Verb,12,258,,
13,Verb,12,260,,
13,Verb,12,262,,
13,Verb,12,264,,
13,Verb,12,266,,
13,Verb,12,268,,
13,Verb,12,270,,
13,Verb,12,272,,
14,Substantiv,12,274,,
14,Substantiv,12,276,,
14,Substantiv,12,278,,
14,Substantiv,12,280,,
14,Substantiv,12,282,,
14,Substantiv,12,284,,
14,Substantiv,12,286,,
14,Substantiv,12,288,,
15,Adjektiv,12,290,,
15,Adjektiv,12,292,,
15,Adjektiv,12,294,,
15,Adjektiv,12,296,,
16,Pronomen,12,298,,
16,Pronomen,12,300,,
16,Pronomen,12,302,,
17,Genus,12,304,,
17,Genus,12,306,,
17,Genus,12,308,,
17,Genus,12,310,,
17,Genus,12,312,,
17,Genus,12,314,,
17,Genus,12,316,,
17,Genus,12,318,,
17,Genus,12,320,,
18,Satzbau,12,322,,
18,Satzbau,12,324,,
18,Satzbau,12,326,,
18,Satzbau,12,328,,
18,Satzbau,12,330,,
18,Satzbau,12,332,,
18,Satzbau,12,334,,
19,Sprache im Alltag,0,0,#FFFFFF,#f08757
20,Grussformeln,19,338,,
20,Grussformeln,19,340,,
20,Grussformeln,19,342,,
20,Grussformeln,19,344,,
20,Grussformeln,19,346,,
20,Grussformeln,19,348,,
20,Grussformeln,19,350,,
21,Höflichkeit,19,352,,
21,Höflichkeit,19,354,,
21,Höflichkeit,19,356,,
21,Höflichkeit,19,358,,
22,Gesamtbild der Dialekte,0,0,#FFFFFF,#0a998a
